Date,Panel Serial No.,Operator ID,Assembly Line,Cycle Time (s),Cell Alignment Deviation (mm),Junction Box Attached,Power Output (W),Efficiency (%),Insulation Resistance (MΩ),Flash Test Result,Visual Inspection,Final Inspection
2025-04-21,SP819428,EMP193,Line 1,1005.9,0.17,No,358.3,18.03,604.6,Fail,Crack,Pass
2025-04-08,SP736702,EMP193,Line 3,980.8,0.24,No,312.5,19.62,990.1,Pass,Scratch,Pass
2025-04-04,SP352954,EMP193,Line 3,887.4,0.37,No,383.7,17.21,227.8,Pass,Crack,Pass
2025-04-17,SP725540,EMP193,Line 1,760.8,0.14,Yes,350.4,20.3,619.7,Pass,Scratch,Pass
2025-04-07,SP189001,EMP193,Line 3,1098.1,0.27,Yes,283.9,21.3,707.5,Fail,Pass,Pass
2025-04-24,SP276624,EMP193,Line 3,786.0,0.43,Yes,319.4,15.77,522.1,Pass,Pass,Fail
2025-04-08,SP752763,EMP193,Line 2,751.3,0.45,Yes,286.6,16.8,851.2,Pass,Pass,Pass
2025-04-26,SP507670,EMP193,Line 3,620.8,0.29,No,376.2,19.43,406.4,Fail,Scratch,Pass
2025-04-16,SP165730,EMP193,Line 1,897.0,0.29,No,354.9,20.27,128.0,Pass,Misalignment,Fail
2025-04-20,SP931664,EMP193,Line 1,1044.9,0.27,Yes,333.3,15.51,423.7,Fail,Pass,Fail
2025-04-23,SP644756,EMP193,Line 3,850.6,0.25,No,353.8,21.43,636.7,Pass,Scratch,Pass
2025-04-26,SP507670,EMP193,Line 3,620.8,0.29,No,376.2,19.43,406.4,Fail,Scratch,Pass
2025-04-28,SP910834,EMP193,Line 3,1181.5,0.4,Yes,328.5,19.37,912.3,Pass,Misalignment,Pass
2025-04-21,SP159583,EMP193,Line 2,971.3,0.34,Yes,362.8,21.14,248.5,Pass,Scratch,Pass
2025-04-22,SP987597,EMP193,Line 2,1069.1,0.29,Yes,295.8,17.78,540.8,Fail,Crack,Pass
2025-04-28,SP368199,EMP193,Line 3,810.7,0.23,Yes,275.3,21.3,882.5,Fail,Crack,Pass
2025-04-04,SP202036,EMP193,Line 2,767.4,0.37,No,352.9,15.36,252.0,Fail,Pass,Fail
2025-04-14,SP738698,EMP193,Line 1,1000.9,0.36,Yes,382.1,20.55,826.8,Pass,Crack,Pass
2025-04-21,SP439675,EMP193,Line 2,970.8,0.28,Yes,312.4,17.84,370.6,Pass,Crack,Pass
2025-04-04,SP768762,EMP885,Line 1,1076.8,0.08,No,360.7,19.24,174.0,Fail,Scratch,Fail
2025-04-04,SP202036,EMP885,Line 2,767.4,0.37,No,352.9,15.36,252.0,Fail,Pass,Fail
2025-04-11,SP825349,EMP885,Line 2,640.7,0.08,Yes,312.0,15.36,745.4,Fail,Scratch,Fail
2025-04-25,SP920961,EMP885,Line 3,892.7,0.13,No,333.0,21.28,963.5,Fail,Crack,Pass
2025-04-13,SP632184,EMP885,Line 1,702.5,0.01,Yes,373.1,17.71,819.1,Pass,Misalignment,Pass
2025-04-21,SP819428,EMP885,Line 1,1005.9,0.17,No,358.3,18.03,604.6,Fail,Crack,Pass
2025-04-24,SP276624,EMP885,Line 3,786.0,0.43,Yes,319.4,15.77,522.1,Pass,Pass,Fail
2025-04-22,SP461787,EMP885,Line 3,942.2,0.02,Yes,360.5,15.89,223.1,Pass,Misalignment,Fail
2025-04-17,SP890542,EMP885,Line 3,757.3,0.31,No,254.2,20.18,627.2,Pass,Scratch,Pass
2025-04-21,SP159583,EMP885,Line 2,971.3,0.34,Yes,362.8,21.14,248.5,Pass,Scratch,Pass
2025-04-28,SP847417,EMP913,Line 2,949.1,0.3,Yes,331.7,20.88,203.9,Fail,Pass,Pass
2025-04-02,SP310509,EMP913,Line 3,1143.2,0.11,No,337.5,19.92,739.5,Pass,Crack,Pass
2025-04-19,SP755983,EMP913,Line 3,815.5,0.35,No,263.3,19.56,239.1,Fail,Scratch,Pass
2025-04-22,SP790431,EMP913,Line 1,699.9,0.42,No,376.9,21.54,151.1,Fail,Pass,Fail
2025-04-29,SP728040,EMP913,Line 2,660.2,0.04,Yes,336.3,15.43,410.5,Pass,Misalignment,Fail
2025-04-08,SP733356,EMP913,Line 2,1097.3,0.15,Yes,383.4,16.46,988.6,Pass,Crack,Pass
2025-04-30,SP301083,EMP913,Line 3,1188.5,0.1,No,317.5,18.6,789.1,Pass,Scratch,Pass
2025-04-05,SP212576,EMP913,Line 1,656.4,0.09,Yes,261.9,20.66,720.8,Pass,Scratch,Pass
2025-04-15,SP265587,EMP913,Line 1,731.7,0.21,Yes,260.7,16.09,864.3,Pass,Pass,Pass
2025-04-25,SP438439,EMP913,Line 1,600.7,0.18,Yes,284.9,21.84,429.1,Fail,Misalignment,Pass
2025-04-12,SP813171,EMP891,Line 3,1064.7,0.26,Yes,371.1,17.38,730.9,Fail,Crack,Pass
2025-04-10,SP800439,EMP891,Line 1,1036.8,0.26,Yes,354.4,16.45,911.1,Fail,Pass,Pass
2025-04-24,SP276624,EMP891,Line 3,786.0,0.43,Yes,319.4,15.77,522.1,Pass,Pass,Fail
2025-04-30,SP654377,EMP891,Line 1,1041.0,0.24,Yes,397.4,16.76,153.7,Pass,Crack,Fail
2025-04-10,SP608020,EMP891,Line 2,922.6,0.08,Yes,268.9,21.76,836.6,Pass,Scratch,Pass
2025-04-15,SP265587,EMP891,Line 1,731.7,0.21,Yes,260.7,16.09,864.3,Pass,Pass,Pass
2025-04-26,SP385930,EMP891,Line 1,799.5,0.35,No,278.4,16.5,586.0,Pass,Pass,Pass
2025-04-08,SP736702,EMP891,Line 3,980.8,0.24,No,312.5,19.62,990.1,Pass,Scratch,Pass
